"","tdcaseid","houseid","personid","cntyfips","city","o_locno","trvlcmin","trptrans","whyto","whyfrom","r_age","trpmiles","tdaydate","wttrdfin","numontrp","education","bike_dfr","bike_gkp","condnigh","condpub","condrive","condspec","condtax","condtrav","schtrn1","schtrn2","schtyp","walk_def","walk_gkq","worker","occupation","travday","place","household_income","trptransfilt","Agefilt","HHincomefilt","Occupfilt","whytofilt","whyfromfilt","educfilt","workerfilt","schtypfilt","schtrn1filt","schtrn2filt"
"1",300041560101,30004156,1,77,"STOCKTON",100,10,3,6,1,36,3.483,201609,252183.957340334,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,3,6,4,4,3,4,99,1,3,1,99,99,99
"2",300041560102,30004156,1,77,"STOCKTON",403,11,3,3,6,36,3.159,201609,252183.957340334,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,3,6,4,4,3,4,2,99,3,1,99,99,99
"3",300041560103,30004156,1,77,"STOCKTON",102,10,3,1,3,36,3.195,201609,252183.957340334,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,4,4,3,6,4,4,3,4,1,2,3,1,99,99,99
"4",300041560201,30004156,2,77,"STOCKTON",100,7,4,6,1,42,1.614,201609,212708.809055525,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,-9,2,-1,4,3,6,4,5,3,99,99,1,3,2,99,99,99
"5",300041560202,30004156,2,77,"STOCKTON",603,6,4,1,6,42,1.615,201609,212708.809055525,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,-9,2,-1,4,3,6,4,5,3,99,1,99,3,2,99,99,99
"6",300041560203,30004156,2,77,"STOCKTON",100,7,4,6,1,42,1.614,201609,212708.809055525,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,-9,2,-1,4,3,6,4,5,3,99,99,1,3,2,99,99,99
"7",300041560204,30004156,2,77,"STOCKTON",603,7,4,1,6,42,1.615,201609,212708.809055525,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-9,-9,2,-1,4,3,6,4,5,3,99,1,99,3,2,99,99,99
"8",300041560401,30004156,4,77,"STOCKTON",100,15,3,8,1,15,3.483,201609,200993.775911525,3,1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,1,-1,-1,-1,-1,4,3,6,4,2,3,99,3,1,1,99,1,4,4
"9",300041560402,30004156,4,77,"STOCKTON",403,15,5,1,8,15,3.495,201609,200993.775911525,4,1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,1,-1,-1,-1,-1,4,3,6,4,2,3,99,1,3,1,99,1,4,4
"10",300041560501,30004156,5,77,"STOCKTON",100,15,3,8,1,14,3.483,201609,200993.775911525,4,1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,1,-1,-1,-1,-1,4,3,6,4,2,3,99,3,1,1,99,1,4,4
"11",300041560502,30004156,5,77,"STOCKTON",503,20,5,1,8,14,3.495,201609,200993.775911525,4,1,-1,-1,-1,-1,-1,-1,-1,-1,3,5,1,-1,-1,-1,-1,4,3,6,4,2,3,99,1,3,1,99,1,4,4
